,city,province,cid,full_cid
0,合肥,安徽,01,1001018008634010000000000
1,芜湖,安徽,02,1001018008634020000000000
2,蚌埠,安徽,03,1001018008634030000000000
3,淮南,安徽,04,1001018008634040000000000
4,马鞍山,安徽,05,1001018008634050000000000
5,淮北,安徽,06,1001018008634060000000000
6,铜陵,安徽,07,1001018008634070000000000
7,安庆,安徽,08,1001018008634080000000000
8,黄山,安徽,10,1001018008634100000000000
9,滁州,安徽,11,1001018008634110000000000
10,阜阳,安徽,12,1001018008634120000000000
11,宿州,安徽,13,1001018008634130000000000
12,巢湖,安徽,14,1001018008634140000000000
13,六安,安徽,15,1001018008634150000000000
14,亳州,安徽,16,1001018008634160000000000
15,池州,安徽,17,1001018008634170000000000
16,宣城,安徽,18,1001018008634180000000000
17,东城区,北京,01,1001018008611010000000000
18,西城区,北京,02,1001018008611020000000000
19,崇文区,北京,03,1001018008611030000000000
20,宣武区,北京,04,1001018008611040000000000
21,朝阳区,北京,05,1001018008611050000000000
22,丰台区,北京,06,1001018008611060000000000
23,石景山区,北京,07,1001018008611070000000000
24,海淀区,北京,08,1001018008611080000000000
25,门头沟区,北京,09,1001018008611090000000000
26,房山区,北京,11,1001018008611110000000000
27,通州区,北京,12,1001018008611120000000000
28,顺义区,北京,13,1001018008611130000000000
29,昌平区,北京,14,1001018008611140000000000
30,大兴区,北京,15,1001018008611150000000000
31,怀柔区,北京,16,1001018008611160000000000
32,平谷区,北京,17,1001018008611170000000000
33,密云县,北京,28,1001018008611280000000000
34,延庆县,北京,29,1001018008611290000000000
35,万州区,重庆,01,1001018008650010000000000
36,涪陵区,重庆,02,1001018008650020000000000
37,渝中区,重庆,03,1001018008650030000000000
38,大渡口区,重庆,04,1001018008650040000000000
39,江北区,重庆,05,1001018008650050000000000
40,沙坪坝区,重庆,06,1001018008650060000000000
41,九龙坡区,重庆,07,1001018008650070000000000
42,南岸区,重庆,08,1001018008650080000000000
43,北碚区,重庆,09,1001018008650090000000000
44,万盛区,重庆,10,1001018008650100000000000
45,双桥区,重庆,11,1001018008650110000000000
46,渝北区,重庆,12,1001018008650120000000000
47,巴南区,重庆,13,1001018008650130000000000
48,黔江区,重庆,14,1001018008650140000000000
49,长寿区,重庆,15,1001018008650150000000000
50,綦江县,重庆,22,1001018008650220000000000
51,潼南县,重庆,23,1001018008650230000000000
52,铜梁县,重庆,24,1001018008650240000000000
53,大足县,重庆,25,1001018008650250000000000
54,荣昌县,重庆,26,1001018008650260000000000
55,璧山县,重庆,27,1001018008650270000000000
56,梁平县,重庆,28,1001018008650280000000000
57,城口县,重庆,29,1001018008650290000000000
58,丰都县,重庆,30,1001018008650300000000000
59,垫江县,重庆,31,1001018008650310000000000
60,武隆县,重庆,32,1001018008650320000000000
61,忠县,重庆,33,1001018008650330000000000
62,开县,重庆,34,1001018008650340000000000
63,云阳县,重庆,35,1001018008650350000000000
64,奉节县,重庆,36,1001018008650360000000000
65,巫山县,重庆,37,1001018008650370000000000
66,巫溪县,重庆,38,1001018008650380000000000
67,石柱土家族自治县,重庆,40,1001018008650400000000000
68,秀山土家族苗族自治县,重庆,41,1001018008650410000000000
69,酉阳土家族苗族自治县,重庆,42,1001018008650420000000000
70,彭水苗族土家族自治县,重庆,43,1001018008650430000000000
71,江津市,重庆,81,1001018008650810000000000
72,合川市,重庆,82,1001018008650820000000000
73,永川市,重庆,83,1001018008650830000000000
74,南川市,重庆,84,1001018008650840000000000
75,福州,福建,01,1001018008635010000000000
76,厦门,福建,02,1001018008635020000000000
77,莆田,福建,03,1001018008635030000000000
78,三明,福建,04,1001018008635040000000000
79,泉州,福建,05,1001018008635050000000000
80,漳州,福建,06,1001018008635060000000000
